actual,predicted
11879.0,11617.086
11823.0,11450.688
11892.0,11391.247
12154.0,11709.399
12912.0,12617.372
14322.999999999998,13747.589
15219.0,14545.731
15174.0,14831.074
14998.000000000002,14824.882
14931.0,14740.455
14727.999999999998,14603.734
14516.0,14438.145
14313.0,14277.232
14107.999999999998,14085.158
13880.0,13890.336
13821.999999999998,13773.084
13766.0,13726.661
14105.0,13838.023
14420.0,14021.15
14277.0,14105.949
13919.0,13722.173
13343.0,12976.989
12639.0,12205.75
12232.0,11699.508
11823.0,11416.212
11892.0,11429.508
12154.0,11747.411
12912.0,12558.494
14322.999999999998,13697.969
15219.0,14499.928
15174.0,14721.529
14998.000000000002,14657.582
14931.0,14569.329
14727.999999999998,14484.176
14516.0,14348.213
14313.0,14207.578
14107.999999999998,14068.938
13880.0,13862.391
13821.999999999998,13703.116
13766.0,13758.473
14105.0,13956.313
14420.0,14173.699
14277.0,14156.682
13919.0,13790.755
13343.0,13032.162
12639.0,12256.373
12232.0,11694.983
11981.0,11405.663
11892.0,11583.018
12154.0,11879.161
12912.0,12728.358
14322.999999999998,13851.066
15219.0,14661.521
15174.0,14839.989
14998.000000000002,14736.927
14931.0,14617.347
14727.999999999998,14464.201
14516.0,14312.556
14313.0,14147.663
14107.999999999998,13992.033
13880.0,13884.977
13821.999999999998,13778.991
13766.0,13719.875
14105.0,13867.126
14420.0,14158.095
14277.0,14238.084
13919.0,13794.427
13343.0,13079.081
12639.0,12345.478
12232.0,11784.885
11981.0,11462.972
11950.0,11373.659
12154.0,12149.103
12912.0,12930.9795
14322.999999999998,14001.141
15219.0,14765.454
15174.0,14973.126
14998.000000000002,14854.682
14931.0,14741.591
14727.999999999998,14584.988
14516.0,14330.972
14313.0,14122.832
14107.999999999998,13957.706
13880.0,13800.622
13821.999999999998,13718.606
13766.0,13744.126
14105.0,13895.66
14420.0,14122.604
14277.0,14212.557
13919.0,13893.863
13343.0,13158.112
12639.0,12423.196
12232.0,11900.89
11981.0,11592.299
11950.0,11454.312
11872.0,11488.193
12912.0,13078.931
